Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°C);Weather type;Notes
2020-10-16 00:14:18;2020-10-16 09:31:11;99%;75%;;0;8494;Normal;102.2;;40.2;33412.3;28734.6;4677.7;2020-10-16 09:30:00;2020-10-16 09:30:00;true;281.8;0.0;No weather;
2020-10-17 01:11:17;2020-10-17 10:14:48;97%;79%;;0;7631;No alarm;102.1;;42.0;32610.6;30219.2;652.2;;;true;845.6;0.0;No weather;
2020-10-19 01:13:23;2020-10-19 10:05:50;99%;92%;;0;3765;Normal;102.0;;38.2;31947.5;28007.3;1916.8;2020-10-19 10:00:00;2020-10-19 10:00:00;true;1280.3;0.0;No weather;
2020-10-19 23:49:43;2020-10-20 08:45:48;88%;88%;;0;8509;Normal;101.3;;49.4;32164.7;25624.6;3859.8;2020-10-20 08:45:00;2020-10-20 08:45:00;true;803.7;0.0;No weather;
2020-10-20 22:13:11;2020-10-21 07:30:30;59%;77%;;0;7005;Normal;100.3;;90.4;33439.0;26862.7;668.8;2020-10-21 07:30:00;2020-10-21 07:30:00;true;1730.5;0.0;No weather;
2020-10-21 22:14:36;2020-10-22 07:00:29;88%;83%;;0;4099;Normal;99.8;;49.3;31552.9;25663.0;4207.0;2020-10-22 07:00:00;2020-10-22 07:00:00;true;61.2;0.0;No weather;
2020-10-23 00:47:04;2020-10-23 10:46:43;87%;73%;;0;9059;No alarm;100.9;;53.1;35978.6;29262.6;5636.6;;;true;4123.5;0.0;No weather;
2020-10-24 01:32:07;2020-10-24 10:54:33;94%;79%;;0;2961;No alarm;100.8;;45.6;33745.6;28908.7;2587.2;;;true;0.0;0.0;No weather;
2020-10-25 02:42:29;2020-10-25 11:48:26;82%;69%;;0;18239;Normal;99.8;;59.0;32756.7;28389.1;4367.6;2020-10-25 12:00:00;2020-10-25 12:00:00;true;1597.3;0.0;No weather;
2020-10-26 00:29:11;2020-10-26 09:16:03;95%;70%;;0;9246;Normal;99.8;;42.4;31612.5;28345.9;632.2;2020-10-26 09:00:00;2020-10-26 09:30:00;true;2340.8;0.0;No weather;
2020-10-27 00:46:54;2020-10-27 09:30:32;82%;70%;;0;6154;Normal;99.9;;55.9;31417.9;26495.8;1570.9;2020-10-27 09:30:00;2020-10-27 09:30:00;true;547.5;0.0;No weather;
2020-10-28 01:13:28;2020-10-28 08:30:49;83%;77%;;0;4614;Normal;99.9;;36.4;26241.0;23616.9;1312.0;2020-10-28 08:30:00;2020-10-28 08:30:00;true;3610.5;0.0;No weather;
2020-10-28 23:13:55;2020-10-29 08:36:51;93%;88%;;0;3705;Normal;100.2;;46.6;33776.7;29610.9;675.5;2020-10-29 08:30:00;2020-10-29 08:30:00;true;1082.1;0.0;No weather;
2020-10-30 01:20:17;2020-10-30 09:32:53;82%;82%;;65;2954;Normal;101.1;;49.8;29555.7;25713.5;591.1;2020-10-30 09:30:00;2020-10-30 10:00:00;true;283.9;0.0;No weather;
2020-11-02 02:19:43;2020-11-02 10:00:49;59%;88%;;54;1588;Normal;100.0;;74.7;27665.8;24899.2;553.3;2020-11-02 10:00:00;2020-11-02 10:00:00;true;780.0;0.0;No weather;
2020-11-03 01:02:38;2020-11-03 09:30:36;94%;85%;;55;6185;Normal;101.4;;39.9;30477.6;27937.8;2539.8;2020-11-03 09:30:00;2020-11-03 09:30:00;true;960.0;0.0;No weather;
2020-11-04 00:46:28;2020-11-04 09:30:40;89%;91%;;51;4155;Normal;102.2;;48.9;31452.3;25686.1;1677.5;2020-11-04 09:30:00;2020-11-04 09:30:00;true;731.0;0.0;No weather;
2020-11-05 01:55:13;2020-11-05 10:31:30;94%;88%;;54;1642;Normal;103.6;;41.2;30976.7;25194.4;2684.6;2020-11-05 10:30:00;2020-11-05 10:30:00;true;387.4;0.0;No weather;
2020-11-06 01:30:08;2020-11-06 09:56:24;90%;90%;;55;1693;Normal;103.5;;44.2;30376.0;25414.6;2430.1;2020-11-06 10:00:00;2020-11-06 10:00:00;true;720.0;0.0;No weather;
2020-11-07 01:11:00;2020-11-07 09:31:18;85%;89%;;59;1447;Normal;102.4;;48.4;30017.4;25314.7;1200.7;2020-11-07 09:30:00;2020-11-07 09:30:00;true;810.0;0.0;No weather;
2020-11-08 01:11:25;2020-11-08 10:44:29;76%;92%;;54;2822;No alarm;102.0;;66.4;34384.8;28997.8;687.7;;;true;245.5;0.0;No weather;
